Pair,Executor,Dir,Size,Entry,Close,StopLoss,TakeProfit,PnL,Reason,Duration,Status,CloseTime
BNB/USDT,Smart,Buy,3.171,606.55,600.68,601.38,610.45,-20.53,SL,1h 12m,Closed,8 Jun 3:15 AM
ADA/USDT,Smart,Sell,10584,0.1655,0.1666,0.1663,0.1638,-13.51,SL,11m,Closed,8 Jun 2:39 AM
SOL/USDT,Smart,Sell,18.34,66.58,67.09,66.92,65.92,-10.61,SL,11m,Closed,8 Jun 2:39 AM
ETH/USDT,Agent,Sell,0.1043,1694.31,1707.16,1704.73,1629.15,-1.52,SL,3m,Closed,8 Jun 2:37 AM
XRP/USDT,Smart,Sell,465,1.1549,1.1607,1.1619,1.1445,-3.24,Manual,4m,Closed,8 Jun 2:31 AM
BTC/USDT,Smart,Sell,0.007,63155.18,63562.37,63534.49,62586.22,-3.30,SL,1h 1m,Closed,8 Jun 2:30 AM
SOL/USDT,Smart,Sell,7.37,66.17,66.57,66.57,65.58,-3.39,SL,45m,Closed,8 Jun 2:28 AM
ETH/USDT,Smart,Buy,0.2767,1681.98,1692.93,1671.90,1697.10,2.56,Manual,52m,Closed,8 Jun 2:28 AM
XRP/USDT,Smart,Sell,468,1.1480,1.1575,1.1548,1.1376,-4.99,SL,15m,Closed,8 Jun 2:26 AM
XRP/USDT,Agent,Sell,154,1.1474,1.1646,1.1659,1.1142,-2.83,Manual,1m,Closed,8 Jun 12:15 AM
SOL/USDT,Smart,Sell,7.16,66.72,66.79,67.46,65.45,-0.96,Manual,27s,Closed,8 Jun 12:15 AM
ADA/USDT,Agent,Sell,1079,0.1643,0.1674,0.1670,0.1596,-3.53,SL,1m,Closed,8 Jun 12:15 AM
ETH/USDT,Agent,Sell,0.1066,1662.24,1704.17,1689.18,1614.29,-4.65,SL,1m,Closed,8 Jun 12:15 AM
BTC/USDT,Agent,Sell,0.00283,62536.43,63691.89,63362.86,61108.84,-3.45,SL,1m,Closed,8 Jun 12:15 AM
SOL/USDT,Agent,Sell,2.71,65.41,66.86,66.47,63.53,-4.10,SL,1m,Closed,8 Jun 12:14 AM
BTC/USDT,Agent,Sell,0.00288,61688.92,62738.91,62662.86,59884.70,-3.20,SL,1h 21m,Closed,8 Jun 12:13 AM
BNB/USDT,Agent,Sell,0.3,592.04,602.39,601.49,574.82,-3.29,SL,1h 21m,Closed,8 Jun 12:13 AM
DOGE/USDT,Agent,Sell,2120.30421,0.083826,0.085485,0.085204,0.081426,-3.70,SL,1h 21m,Closed,8 Jun 12:13 AM
ETH/USDT,Agent,Sell,0.1094,1623.03,1664.38,1648.59,1575.50,-4.71,SL,1h 21m,Closed,8 Jun 12:13 AM
SOL/USDT,Agent,Sell,2.74,64.67,65.56,65.47,62.57,-2.62,SL,55m,Closed,8 Jun 12:13 AM
XRP/USDT,Smart,Sell,1681,1.1343,1.1316,1.1512,1.1170,2.66,Manual,12h 0m,Closed,8 Jun 12:05 AM
SOL/USDT,Agent,Sell,2.71,65.33,64.80,66.09,63.16,1.24,Manual,4h 3m,Closed,7 Jun 11:18 PM
ETH/USDT,Agent,Sell,0.1097,1623.41,1627.08,1719.25,1473.64,-0.58,Manual,5h 47m,Closed,7 Jun 10:52 PM
BNB/USDT,Agent,Sell,0.302,589.50,593.49,605.65,570.02,-1.38,Manual,5h 47m,Closed,7 Jun 10:52 PM
BTC/USDT,Agent,Sell,0.00287,61884.80,61836.69,62958.43,60167.17,-0.04,Manual,4h 39m,Closed,7 Jun 10:52 PM
