Pair,Executor,Dir,Size,Entry,Close,StopLoss,TakeProfit,PnL,Reason,Duration,Status,CloseTime
XRP/USDT,Smart,Sell,495,1.1496,1.1412,1.1568,1.1395,3.59,Manual,28m,Closed,5 Jun 4:43 AM
XRP/USDT,Smart,Sell,591,1.1673,1.1524,1.1861,1.1509,8.14,Manual,1h 43m,Closed,5 Jun 4:14 AM
SOL/USDT,Agent,Sell,2.68,68.65,68.20,70.14,67.03,1.02,Manual,4h 0m,Closed,5 Jun 3:13 AM
DOGE/USDT,Agent,Sell,2087.83761,0.088662,0.087638,0.090081,0.086088,1.96,Manual,4h 0m,Closed,5 Jun 3:13 AM
ETH/USDT,Agent,Sell,0.1042,1775.30,1754.33,1799.06,1735.06,2.00,Manual,4h 0m,Closed,5 Jun 3:12 AM
BNB/USDT,Agent,Sell,0.305,605.41,598.88,613.49,591.67,1.81,Manual,4h 0m,Closed,5 Jun 3:12 AM
BTC/USDT,Agent,Sell,0.0029,63656.52,63240.36,64512.41,62217.51,1.02,Manual,4h 0m,Closed,5 Jun 3:12 AM
XRP/USDT,Smart,Sell,436,1.1666,1.1749,1.1743,1.1568,-4.13,SL,19m,Closed,5 Jun 2:31 AM
ADA/USDT,Agent,Sell,990,0.1862,0.1834,0.1900,0.1832,2.59,Manual,4h 35m,Closed,4 Jun 11:12 PM
BTC/USDT,Agent,Sell,0.00291,63600.94,63805.70,64371.52,61517.61,-0.78,Manual,4h 19m,Closed,4 Jun 11:12 PM
BNB/USDT,Agent,Sell,0.306,603.94,606.84,613.17,585.98,-1.07,Manual,4h 20m,Closed,4 Jun 11:12 PM
ETH/USDT,Agent,Sell,0.1042,1772.35,1779.62,1799.31,1719.53,-0.94,Manual,4h 30m,Closed,4 Jun 11:12 PM
XRP/USDT,Agent,Sell,159,1.1583,1.1765,1.1826,1.1301,-3.08,Manual,4h 35m,Closed,4 Jun 11:12 PM
DOGE/USDT,Smart,Sell,33010.19778,0.089243,0.088750,0.090506,0.087818,13.34,Manual,4h 0m,Closed,4 Jun 8:14 PM
SOL/USDT,Smart,Sell,49.57,69.64,69.20,70.48,68.80,18.50,Manual,4h 0m,Closed,4 Jun 7:34 PM
BTC/USDT,Agent,Sell,0.00291,63760.95,63749.73,64415.86,61559.99,-0.15,Manual,4h 0m,Closed,4 Jun 6:52 PM
BNB/USDT,Smart,Sell,4.337,603.24,605.27,609.25,591.16,-11.46,Manual,4h 0m,Closed,4 Jun 6:51 PM
ETH/USDT,Smart,Sell,1.2726,1772.21,1776.38,1792.76,1739.51,-7.56,Manual,4h 0m,Closed,4 Jun 6:41 PM
XRP/USDT,Smart,Sell,1593,1.1768,1.1612,1.1884,1.1601,22.98,TP,3h 44m,Closed,4 Jun 6:35 PM
ADA/USDT,Agent,Sell,964,0.1915,0.1879,0.1944,0.1875,3.29,Manual,3h 23m,Closed,4 Jun 6:14 PM
DOGE/USDT,Smart,Sell,44972.91686,0.088767,0.089700,0.089567,0.086906,-45.99,SL,1h 46m,Closed,4 Jun 4:13 PM
SOL/USDT,Smart,Sell,17.43,69.08,69.99,69.70,68.04,-17.14,SL,10m,Closed,4 Jun 3:33 PM
SOL/USDT,Smart,Sell,27.81,69.86,69.22,70.29,69.24,15.88,TP,44m,Closed,4 Jun 3:23 PM
BNB/USDT,Agent,Sell,0.316,597.85,603.82,602.64,581.20,-2.08,SL,24m,Closed,4 Jun 2:50 PM
BTC/USDT,Smart,Sell,0.02633,63215.88,63904.65,63831.77,61935.77,-19.82,SL,25m,Closed,4 Jun 2:50 PM
XRP/USDT,Smart,Sell,1224,1.1722,1.1802,1.1785,1.1609,-11.26,SL,13m,Closed,4 Jun 2:50 PM
ETH/USDT,Smart,Sell,1.3265,1765.75,1776.79,1774.21,1747.73,-17.00,SL,9m,Closed,4 Jun 2:40 PM
ADA/USDT,Smart,Sell,10702,0.1885,0.1915,0.1902,0.1857,-34.50,SL,1h 49m,Closed,4 Jun 2:38 PM
SOL/USDT,Smart,Sell,12.48,69.21,70.01,69.63,68.59,-10.85,SL,28s,Closed,4 Jun 2:37 PM
XRP/USDT,Agent,Sell,162,1.1678,1.1706,1.1698,1.1179,-0.64,SL,4m,Closed,4 Jun 2:35 PM
SOL/USDT,Smart,Sell,43.48,68.27,69.35,68.98,66.93,-50.00,SL,3h 18m,Closed,4 Jun 2:32 PM
XRP/USDT,Agent,Sell,163,1.1644,1.1672,1.1663,1.1248,-0.65,SL,4m,Closed,4 Jun 2:30 PM
ETH/USDT,Smart,Sell,1.0393,1756.23,1763.95,1762.88,1736.57,-9.86,SL,24m,Closed,4 Jun 2:30 PM
DOGE/USDT,Agent,Sell,2181.04148,0.087509,0.088108,0.088361,0.084443,-1.50,Manual,50m,Closed,4 Jun 2:26 PM
XRP/USDT,Smart,Sell,2505,1.1503,1.1672,1.1620,1.1344,-45.29,SL,3h 8m,Closed,4 Jun 2:25 PM
BTC/USDT,Smart,Sell,0.02632,62263.86,63262.97,62819.23,61323.53,-27.96,SL,1h 36m,Closed,4 Jun 2:25 PM
ETH/USDT,Smart,Sell,0.8322,1737.10,1755.86,1753.03,1711.29,-17.07,SL,1h 16m,Closed,4 Jun 2:05 PM
DOGE/USDT,Agent,Sell,2114.96318,0.089058,0.087728,0.090264,0.086262,2.63,Manual,4h 0m,Closed,4 Jun 1:36 PM
BNB/USDT,Agent,Sell,0.312,600.97,591.30,612.12,584.98,2.83,Manual,4h 0m,Closed,4 Jun 1:21 PM
BTC/USDT,Smart,Sell,0.02775,62922.47,62652.59,63379.33,62433.37,5.75,Manual,1h 26m,Closed,4 Jun 12:48 PM
ETH/USDT,Smart,Sell,2.0839,1764.71,1758.65,1788.19,1745.62,8.96,Manual,3h 25m,Closed,4 Jun 12:48 PM
ADA/USDT,Agent,Sell,984,0.1913,0.1886,0.1955,0.1885,2.47,TP,25m,Closed,4 Jun 11:34 AM
BTC/USDT,Smart,Sell,0.04816,63380.17,63177.11,64061.72,63105.57,6.74,Manual,1h 46m,Closed,4 Jun 11:21 AM
XRP/USDT,Smart,Sell,2607,1.1709,1.1540,1.1885,1.1532,41.15,TP,1h 58m,Closed,4 Jun 11:16 AM
SOL/USDT,Smart,Sell,20.72,68.88,68.52,69.44,68.40,6.03,Manual,1h 1m,Closed,4 Jun 11:13 AM
ADA/USDT,Smart,Sell,4602,0.1938,0.1927,0.1950,0.1921,4.18,Manual,47m,Closed,4 Jun 11:08 AM
ADA/USDT,Smart,Sell,6177,0.1928,0.1932,0.1940,0.1911,-3.86,Manual,5m,Closed,4 Jun 10:20 AM
ADA/USDT,Smart,Sell,14063,0.1961,0.1943,0.1988,0.1940,23.23,Manual,3h 5m,Closed,4 Jun 10:15 AM
SOL/USDT,Smart,Sell,25.9,70.05,69.36,71.16,69.05,15.98,Manual,2h 35m,Closed,4 Jun 10:11 AM
DOGE/USDT,Agent,Sell,2058.92736,0.090613,0.089246,0.091873,0.088605,2.63,Manual,4h 0m,Closed,4 Jun 9:36 AM
BTC/USDT,Smart,Sell,0.04953,64008.10,63806.74,64927.85,62999.30,6.81,Manual,4h 0m,Closed,4 Jun 9:35 AM
ETH/USDT,Smart,Sell,1.1277,1798.74,1781.94,1829.03,1774.70,16.94,Manual,3h 16m,Closed,4 Jun 9:22 AM
BNB/USDT,Agent,Sell,0.305,614.60,602.28,620.44,598.37,3.57,Manual,4h 0m,Closed,4 Jun 9:21 AM
XRP/USDT,Smart,Sell,2261,1.2003,1.1807,1.2148,1.1787,41.63,Manual,3h 58m,Closed,4 Jun 9:18 AM
SOL/USDT,Smart,Sell,17.22,69.91,70.15,70.34,69.29,-5.31,Manual,20m,Closed,4 Jun 7:35 AM
SOL/USDT,Smart,Sell,31.02,71.26,70.41,71.96,70.25,24.23,Manual,1h 38m,Closed,4 Jun 7:14 AM
ADA/USDT,Smart,Sell,6375,0.2007,0.1986,0.2025,0.1977,11.94,Manual,1h 2m,Closed,4 Jun 7:09 AM
ADA/USDT,Smart,Sell,8976,0.1983,0.2000,0.2001,0.1953,-17.24,SL,31m,Closed,4 Jun 6:06 AM
ETH/USDT,Smart,Sell,1.3586,1795.32,1809.42,1809.32,1755.58,-21.61,SL,56m,Closed,4 Jun 6:06 AM
SOL/USDT,Smart,Sell,31.62,70.70,71.11,71.32,69.62,-15.21,Manual,25m,Closed,4 Jun 5:35 AM
BTC/USDT,Smart,Sell,0.04701,63425.81,63934.87,63995.62,62094.76,-26.94,SL,51m,Closed,4 Jun 5:34 AM
ADA/USDT,Smart,Sell,9204,0.1964,0.1981,0.1983,0.1935,-17.03,SL,25m,Closed,4 Jun 5:34 AM
DOGE/USDT,Agent,Sell,2102.43234,0.089977,0.090568,0.090680,0.087454,-1.43,Manual,13m,Closed,4 Jun 5:22 AM
XRP/USDT,Smart,Sell,1444,1.1886,1.2012,1.2019,1.1662,-19.97,SL,10m,Closed,4 Jun 5:19 AM
BNB/USDT,Agent,Sell,0.311,612.38,615.98,614.19,586.96,-1.31,SL,9m,Closed,4 Jun 5:19 AM
SOL/USDT,Smart,Sell,15.56,69.77,70.36,70.31,68.63,-10.27,SL,36m,Closed,4 Jun 5:09 AM
ETH/USDT,Smart,Sell,1.5495,1770.16,1777.09,1786.25,1733.19,-13.49,Manual,39m,Closed,4 Jun 5:09 AM
XRP/USDT,Agent,Sell,163,1.1601,1.1812,1.1849,1.1427,-3.63,Manual,1h 17m,Closed,4 Jun 5:08 AM
BNB/USDT,Smart,Sell,3.89,606.17,608.79,612.54,594.35,-12.54,Manual,38m,Closed,4 Jun 5:08 AM
ADA/USDT,Smart,Sell,9188,0.1948,0.1953,0.1965,0.1918,-6.52,Manual,31m,Closed,4 Jun 5:08 AM
DOGE/USDT,Agent,Sell,2158.15086,0.088869,0.089193,0.089157,0.085986,-0.89,SL,15m,Closed,4 Jun 4:45 AM
BTC/USDT,Smart,Sell,0.0735,62397.42,63156.09,63264.38,61385.24,-60.40,Manual,1h 17m,Closed,4 Jun 4:42 AM
ADA/USDT,Smart,Sell,12478,0.1929,0.1945,0.1945,0.1899,-21.86,SL,13m,Closed,4 Jun 4:36 AM
SOL/USDT,Smart,Sell,15.63,69.06,69.20,69.68,68.02,-3.32,Manual,4m,Closed,4 Jun 4:33 AM
DOGE/USDT,Smart,Sell,25401.83047,0.087723,0.088241,0.088380,0.085755,-15.41,Manual,15m,Closed,4 Jun 4:29 AM
SOL/USDT,Smart,Sell,20.26,68.42,68.56,69.04,67.39,-4.29,Manual,4m,Closed,4 Jun 4:28 AM
ETH/USDT,Agent,Sell,0.1098,1751.45,1755.31,1762.78,1700.07,-0.62,Manual,4m,Closed,4 Jun 4:27 AM
BNB/USDT,Agent,Sell,0.321,599.57,602.04,605.62,584.08,-0.99,Manual,15m,Closed,4 Jun 4:27 AM
SOL/USDT,Smart,Sell,43.05,68.04,68.29,68.41,67.39,-13.59,Manual,20m,Closed,4 Jun 4:23 AM
ETH/USDT,Smart,Sell,1.0176,1737.30,1745.91,1746.70,1720.63,-10.53,SL,15m,Closed,4 Jun 4:22 AM
DOGE/USDT,Smart,Sell,16717.80258,0.086703,0.086886,0.087667,0.085063,-4.51,Manual,3m,Closed,4 Jun 4:13 AM
BNB/USDT,Smart,Sell,2.019,593.56,594.78,597.16,588.25,-3.68,Manual,5m,Closed,4 Jun 4:11 AM
DOGE/USDT,Agent,Sell,2152.98654,0.086695,0.086782,0.090564,0.087342,-0.37,TP,17s,Closed,4 Jun 4:10 AM
ADA/USDT,Smart,Sell,7341,0.1886,0.1890,0.1903,0.1858,-4.32,Manual,3m,Closed,4 Jun 4:10 AM
DOGE/USDT,Agent,Sell,2153.17641,0.086674,0.086761,0.090564,0.087342,-0.37,TP,16s,Closed,4 Jun 4:09 AM
DOGE/USDT,Agent,Sell,2158.5675,0.088462,0.087598,0.090564,0.087342,1.68,Manual,10m,Closed,4 Jun 4:08 AM
ETH/USDT,Smart,Sell,1.0289,1754.34,1759.23,1764.54,1738.20,-6.84,Manual,10m,Closed,4 Jun 4:06 AM
ADA/USDT,Agent,Sell,991,0.1886,0.1888,0.1969,0.1899,-0.39,TP,18s,Closed,4 Jun 4:06 AM
BNB/USDT,Smart,Sell,4.373,605.15,601.89,611.82,597.25,11.60,Manual,40m,Closed,4 Jun 4:06 AM
ADA/USDT,Agent,Sell,3850,0.1937,0.1921,0.1996,0.1907,5.32,Manual,41m,Closed,4 Jun 4:05 AM
SOL/USDT,Smart,Sell,33.83,69.30,68.70,70.16,68.08,18.14,Manual,35m,Closed,4 Jun 4:02 AM
DOGE/USDT,Agent,Sell,2049.60518,0.091244,0.089441,0.092566,0.089273,3.51,Manual,2h 17m,Closed,4 Jun 3:57 AM
ETH/USDT,Smart,Sell,1.2669,1774.31,1768.89,1784.38,1757.75,4.63,Manual,35m,Closed,4 Jun 3:56 AM
XRP/USDT,Agent,Sell,156,1.1998,1.1733,1.2179,1.1639,3.95,Manual,2h 10m,Closed,4 Jun 3:50 AM
SOL/USDT,Agent,Sell,2.61,71.44,69.99,72.75,69.52,3.60,Manual,1h 46m,Closed,4 Jun 3:26 AM
BTC/USDT,Agent,Sell,0.00292,1921.80,62638.00,66623.40,62704.37,-177.47,TP,5h 0m,Closed,4 Jun 3:25 AM
BNB/USDT,Smart,Sell,0.884,613.34,608.77,617.02,607.81,3.50,Manual,23m,Closed,4 Jun 3:25 AM
ADA/USDT,Agent,Sell,935,0.1999,0.1941,0.2035,0.1945,5.24,TP,1h 43m,Closed,4 Jun 3:24 AM
ETH/USDT,Smart,Sell,0.3015,1793.63,1786.26,1804.41,1777.48,1.68,Manual,46m,Closed,4 Jun 3:20 AM
BNB/USDT,Smart,Sell,0.83,619.39,614.42,622.89,613.59,3.61,Manual,53m,Closed,4 Jun 2:54 AM
ETH/USDT,Smart,Sell,0.2981,1812.14,1798.09,1823.02,1795.81,3.65,Manual,32m,Closed,4 Jun 2:33 AM
ETH/USDT,Agent,Sell,0.1032,1836.01,1843.67,1842.99,1761.28,-0.98,SL,16m,Closed,4 Jun 12:01 AM
ETH/USDT,Agent,Sell,0.1039,1776.36,1836.22,1829.58,1748.46,-6.22,SL,47m,Closed,3 Jun 11:43 PM
ETH/USDT,Agent,Sell,0.1047,1820.00,1776.66,1845.68,1780.02,4.54,TP,1h 10m,Closed,3 Jun 10:55 PM
BTC/USDT,Agent,Sell,0.00283,66155.23,65829.76,67555.00,64559.95,0.73,Manual,4h 0m,Closed,3 Jun 9:45 PM
ETH/USDT,Agent,Sell,0.1016,1838.91,1821.82,1876.36,1809.61,1.55,Manual,4h 0m,Closed,3 Jun 9:45 PM
DOGE/USDT,Smart,Sell,18460.25138,0.092826,0.092653,0.093920,0.091130,1.49,Manual,4h 0m,Closed,3 Jun 9:44 PM
XRP/USDT,Smart,Sell,1708.5,1.2221,1.2137,1.2337,1.1971,12.30,Manual,4h 0m,Closed,3 Jun 9:44 PM
SOL/USDT,Smart,Sell,37.975,73.37,72.10,74.19,71.99,45.55,Manual,3h 47m,Closed,3 Jun 9:31 PM
ADA/USDT,Smart,Sell,13384.3,0.2118,0.2083,0.2144,0.2081,43.83,Manual,42m,Closed,3 Jun 6:26 PM
BNB/USDT,Smart,Sell,3.519,632.01,622.97,640.95,621.91,29.63,Manual,40m,Closed,3 Jun 6:24 PM
ETH/USDT,Agent,Sell,0.0973,1992.01,1862.26,2068.19,1772.73,0.00,Manual,131h 12m,Closed,3 Jun 3:35 AM
BTC/USDT,Agent,Sell,0.00276,67290.96,66565.00,69250.71,66180.48,1.82,Manual,7h 26m,Closed,3 Jun 1:02 AM
BNB/USDT,Agent,Sell,0.279,669.92,652.72,689.47,648.91,4.62,Manual,7h 47m,Closed,3 Jun 12:52 AM
SOL/USDT,Smart,Sell,2.442,77.06,76.04,77.84,75.53,2.31,Manual,4h 0m,Closed,2 Jun 9:05 PM
DOGE/USDT,Agent,Sell,1010,0.096100,0.094520,0.099054,0.094662,1.50,TP,1h 25m,Closed,2 Jun 5:54 PM
SOL/USDT,Agent,Buy,2.43,77.02,76.08,76.38,79.87,-2.47,SL,51m,Closed,2 Jun 5:54 PM
BTC/USDT,Smart,Sell,0.08115,68143.55,67379.91,69337.61,67278.08,61.97,Manual,1h 26m,Closed,2 Jun 5:31 PM
BNB/USDT,Agent,Sell,0.278,690.44,668.91,700.11,669.07,5.99,TP,25h 52m,Closed,2 Jun 5:04 PM
DOGE/USDT,Agent,Sell,1010,0.098450,0.095960,0.099672,0.096126,2.51,TP,2h 8m,Closed,2 Jun 4:29 PM
BTC/USDT,Agent,Sell,0.00268,71528.00,68666.01,73001.75,68707.53,7.67,TP,23h 34m,Closed,2 Jun 4:03 PM
ETH/USDT,Smart,Buy,0.2383,1976.01,1977.07,1966.03,1995.67,0.25,Manual,4h 0m,Closed,2 Jun 3:06 PM
DOGE/USDT,Agent,Sell,1010,0.100910,0.098440,0.102104,0.098472,2.49,TP,12h 29m,Closed,2 Jun 2:18 PM
ETH/USDT,Smart,Buy,0.2376,1982.32,1974.82,1973.05,2002.79,-1.78,SL,46m,Closed,2 Jun 11:04 AM
DOGE/USDT,Agent,Sell,1946,0.098870,0.100960,0.100163,0.095722,-4.07,SL,9h 18m,Closed,2 Jun 1:46 AM
ADA/USDT,Smart,Sell,6377.6,0.2282,0.2306,0.2322,0.2253,-16.70,Manual,4h 0m,Closed,1 Jun 7:33 PM
XRP/USDT,Smart,Sell,1117.9,1.2891,1.3002,1.3122,1.2732,-13.82,Manual,4h 0m,Closed,1 Jun 7:32 PM
BTC/USDT,Agent,Sell,0.00261,73559.98,71547.07,74290.93,71648.17,5.25,TP,61h 17m,Closed,1 Jun 4:27 PM
DOGE/USDT,Smart,Sell,4810,0.099670,0.098690,0.100153,0.098658,4.24,TP,42m,Closed,1 Jun 4:15 PM
ADA/USDT,Agent,Sell,808,0.2383,0.2296,0.2401,0.2316,7.03,TP,58h 56m,Closed,1 Jun 3:11 PM
XRP/USDT,Agent,Sell,141,1.3616,1.3007,1.3793,1.3181,8.59,TP,58h 55m,Closed,1 Jun 3:11 PM
SOL/USDT,Agent,Buy,2.33,83.14,80.74,80.82,84.52,-5.78,SL,64h 18m,Closed,1 Jun 9:57 AM
ADA/USDT,Smart,Buy,2059,0.2328,0.2335,0.2309,0.2365,0.99,Manual,4h 0m,Closed,31 May 11:06 PM
BNB/USDT,Smart,Buy,0.676,707.51,709.16,702.83,719.84,0.64,Manual,4h 0m,Closed,31 May 10:40 PM
DOGE/USDT,Smart,Buy,4808,0.099710,0.099501,0.098703,0.101694,-1.48,Manual,4h 0m,Closed,31 May 10:15 PM
SOL/USDT,Smart,Sell,4.945,82.05,81.66,82.92,80.46,1.52,Manual,4h 0m,Closed,31 May 8:41 PM
DOGE/USDT,Smart,Sell,4796,0.099960,0.099290,0.100960,0.097961,2.74,Manual,4h 0m,Closed,31 May 8:21 PM
BTC/USDT,Smart,Buy,0.00654,73322.78,73570.00,72488.79,74685.42,1.14,Manual,51h 52m,Closed,31 May 6:25 PM
ETH/USDT,Smart,Buy,0.2388,2013.75,2005.37,1987.09,2047.30,-2.48,Manual,44h 53m,Closed,31 May 6:25 PM
ADA/USDT,Smart,Buy,2037,0.2353,0.2333,0.2333,0.2390,-4.07,SL,29h 50m,Closed,31 May 6:14 PM
BNB/USDT,Smart,Buy,0.658,727.60,719.37,720.27,742.10,-5.42,SL,34m,Closed,31 May 4:38 PM
DOGE/USDT,Smart,Sell,3847,0.101450,0.099830,0.102302,0.099866,6.23,TP,35h 31m,Closed,31 May 4:20 PM
BNB/USDT,Smart,Buy,0.662,723.35,721.07,720.19,731.05,-1.99,Manual,17m,Closed,31 May 12:52 PM
BNB/USDT,Smart,Buy,0.662,723.20,718.79,719.94,730.80,-3.40,SL,1h 24m,Closed,31 May 11:58 AM
XRP/USDT,Smart,Buy,357,1.3411,1.3400,1.3343,1.3544,-0.87,Manual,23h 40m,Closed,31 May 9:25 AM
BNB/USDT,Agent,Buy,0.295,655.34,689.77,631.06,689.61,10.16,TP,228h 55m,Closed,30 May 5:23 PM
BNB/USDT,Smart,Sell,0.712,673.68,676.01,675.97,665.88,-1.66,SL,2h 49m,Closed,30 May 12:24 PM
ADA/USDT,Smart,Buy,2032,0.2359,0.2348,0.2346,0.2382,-2.24,SL,57m,Closed,30 May 9:44 AM
BNB/USDT,Smart,Sell,0.717,667.68,671.84,671.74,661.72,-2.98,SL,1h 7m,Closed,30 May 9:27 AM
DOGE/USDT,Smart,Buy,4780,0.100320,0.101410,0.099898,0.101404,5.21,TP,1h 37m,Closed,30 May 8:12 AM
BNB/USDT,Smart,Sell,0.728,658.47,665.00,665.05,645.30,-5.24,SL,2h 30m,Closed,30 May 7:59 AM
ADA/USDT,Smart,Buy,2037,0.2345,0.2342,0.2341,0.2377,-0.61,SL,7m,Closed,30 May 6:34 AM
ADA/USDT,Smart,Buy,2024,0.2363,0.2352,0.2344,0.2415,-2.23,Manual,41m,Closed,30 May 6:27 AM
ADA/USDT,Smart,Buy,2011,0.2384,0.2369,0.2369,0.2405,-3.02,SL,43m,Closed,30 May 5:38 AM
BNB/USDT,Smart,Sell,0.729,656.80,660.38,660.30,650.44,-2.61,SL,21m,Closed,30 May 5:10 AM
ADA/USDT,Agent,Buy,824,0.2329,0.2383,0.2299,0.2383,4.45,TP,35h 47m,Closed,30 May 4:15 AM
XRP/USDT,Agent,Buy,145,1.3315,1.3546,1.3031,1.3506,3.35,TP,9h 29m,Closed,30 May 3:09 AM
DOGE/USDT,Agent,Sell,1928,0.099730,0.101110,0.100552,0.096975,-2.66,SL,22h 29m,Closed,29 May 5:39 PM
SOL/USDT,Agent,Buy,2.36,81.23,83.10,80.21,83.13,4.41,TP,25h 12m,Closed,29 May 5:39 PM
BNB/USDT,Smart,Sell,0.753,636.54,642.85,642.87,623.77,-4.75,SL,13h 54m,Closed,29 May 5:36 PM
DOGE/USDT,Smart,Buy,4863,0.098560,0.097550,0.097594,0.100552,-4.91,SL,1h 25m,Closed,29 May 4:26 PM
ETH/USDT,Smart,Buy,0.2394,2002.46,1987.05,1986.43,2034.49,-3.69,SL,1h 51m,Closed,29 May 4:23 PM
XRP/USDT,Smart,Buy,366,1.3091,1.2984,1.2992,1.3306,-3.92,SL,11h 54m,Closed,29 May 3:34 PM
DOGE/USDT,Smart,Buy,4819,0.099440,0.098620,0.098574,0.101561,-3.95,SL,6h 4m,Closed,29 May 2:39 PM
BTC/USDT,Smart,Buy,0.00651,73694.81,73273.00,73272.79,74377.40,-3.22,SL,6h 23m,Closed,29 May 2:28 PM
ETH/USDT,Smart,Buy,0.2372,2020.49,2002.00,2000.29,2060.90,-4.39,SL,5h 49m,Closed,29 May 2:12 PM
ETH/USDT,Smart,Buy,0.2396,2000.63,2020.30,1989.23,2019.22,4.71,TP,2h 4m,Closed,29 May 8:23 AM
BTC/USDT,Smart,Sell,0.00652,73499.99,73820.01,73795.14,72693.72,-2.09,SL,4h 40m,Closed,29 May 8:22 AM
ADA/USDT,Smart,Sell,2041,0.2347,0.2361,0.2361,0.2326,-2.86,SL,57m,Closed,29 May 8:04 AM
SOL/USDT,Smart,Sell,5.88,81.59,81.89,81.89,80.67,-1.76,SL,35m,Closed,29 May 6:58 AM
DOGE/USDT,Smart,Buy,4820,0.099470,0.098950,0.098970,0.100462,-2.51,SL,1h 14m,Closed,29 May 4:54 AM
ETH/USDT,Smart,Buy,0.2388,2007.26,2000.00,1997.21,2027.32,-1.73,Manual,1h 12m,Closed,29 May 4:54 AM
BTC/USDT,Smart,Sell,0.01441,73236.85,73842.35,73820.86,72063.22,-8.73,SL,17h 46m,Closed,28 May 11:41 PM
ADA/USDT,Smart,Sell,1875.5,0.2328,0.2351,0.2352,0.2282,-4.31,SL,3h 37m,Closed,28 May 8:00 PM
DOGE/USDT,Agent,Sell,1953,0.098570,0.099690,0.099632,0.095215,-2.19,SL,1h 20m,Closed,28 May 7:09 PM
SOL/USDT,Smart,Sell,4.975,81.12,82.11,82.09,79.65,-4.93,SL,2h 32m,Closed,28 May 6:56 PM
DOGE/USDT,Smart,Buy,4941,0.098010,0.098920,0.096050,0.098960,4.50,TP,2h 19m,Closed,28 May 6:35 PM
BNB/USDT,Smart,Sell,0.755,634.76,637.58,637.77,628.25,-2.13,SL,12h 21m,Closed,28 May 6:24 PM
XRP/USDT,Agent,Sell,147,1.3027,1.3138,1.3123,1.2656,-1.63,SL,1h 24m,Closed,28 May 5:48 PM
SOL/USDT,Agent,Sell,2.25,85.45,81.23,86.26,83.19,9.50,TP,139h 26m,Closed,28 May 4:22 PM
ADA/USDT,Agent,Sell,784,0.2457,0.2332,0.2480,0.2392,9.80,TP,139h 26m,Closed,28 May 4:22 PM
ETH/USDT,Agent,Sell,0.0904,2066.67,1991.23,2186.48,1995.43,6.82,TP,138h 50m,Closed,28 May 4:22 PM
XRP/USDT,Smart,Sell,371,1.2892,1.3023,1.3024,1.2637,-4.86,SL,10h 44m,Closed,28 May 4:16 PM
DOGE/USDT,Smart,Buy,4945,0.097020,0.097940,0.096465,0.097920,4.55,TP,6m,Closed,28 May 4:14 PM
BTC/USDT,Smart,Buy,0.00656,73068.70,72705.58,72703.36,73799.39,-2.38,SL,9h 32m,Closed,28 May 4:06 PM
DOGE/USDT,Smart,Buy,4902,0.097960,0.096890,0.097012,0.099359,-5.25,SL,45m,Closed,28 May 4:06 PM
DOGE/USDT,Smart,Sell,4424,0.098540,0.097630,0.099033,0.097555,4.03,TP,3h 15m,Closed,28 May 2:21 PM
ETH/USDT,Smart,Buy,0.2429,1971.35,1993.05,1963.53,1993.13,5.27,TP,3h 31m,Closed,28 May 9:35 AM
ADA/USDT,Smart,Buy,2074,0.2312,0.2298,0.2299,0.2334,-2.90,SL,16m,Closed,28 May 6:22 AM
ETH/USDT,Smart,Buy,0.2421,1979.22,1971.34,1971.56,2001.28,-1.91,SL,34s,Closed,28 May 6:02 AM
BNB/USDT,Smart,Sell,0.744,643.57,633.54,648.73,633.28,7.46,TP,46m,Closed,28 May 6:02 AM
DOGE/USDT,Smart,Sell,4424,0.098940,0.098100,0.099425,0.097941,3.72,Manual,26m,Closed,28 May 6:02 AM
BTC/USDT,Smart,Sell,0.00641,74700.87,73231.69,75451.05,73209.93,9.42,TP,5h 50m,Closed,28 May 5:54 AM
ADA/USDT,Smart,Buy,2042,0.2347,0.2327,0.2328,0.2385,-4.08,SL,23m,Closed,28 May 5:53 AM
XRP/USDT,Smart,Sell,366,1.3076,1.2866,1.3182,1.2868,7.69,TP,4h 6m,Closed,28 May 5:18 AM
DOGE/USDT,Smart,Sell,4424,0.100720,0.099660,0.101183,0.099673,4.69,TP,4h 51m,Closed,28 May 5:17 AM
DOGE/USDT,Smart,Buy,4763,0.100660,0.099650,0.099673,0.102694,-4.81,SL,4h 47m,Closed,28 May 5:17 AM
BNB/USDT,Smart,Sell,0.733,653.73,643.73,658.96,643.27,7.33,TP,6h 28m,Closed,28 May 5:16 AM
XRP/USDT,Smart,Sell,360,1.3302,1.3094,1.3408,1.3089,7.49,TP,2h 24m,Closed,28 May 1:12 AM
BTC/USDT,Smart,Sell,0.00637,75262.00,74465.95,75650.87,74521.76,5.07,TP,56m,Closed,27 May 11:44 PM
SOL/USDT,Smart,Buy,5.71,83.84,83.15,82.99,85.51,-3.94,Manual,53m,Closed,27 May 11:40 PM
DOGE/USDT,Smart,Buy,4693,0.102160,0.101650,0.101639,0.103172,-2.39,SL,45m,Closed,27 May 11:33 PM
BNB/USDT,Smart,Sell,0.732,654.54,657.36,657.57,647.76,-2.06,SL,10h 30m,Closed,27 May 5:37 PM
BTC/USDT,Smart,Sell,0.0063,76037.69,74980.00,76624.63,74800.24,6.66,Manual,17h 48m,Closed,27 May 3:48 PM
